plz,stadtteil,preis,groesse,zimmer,a_name,link
13403,Reinickendorf,390000,77.0,3.0,eigentumswohnung-mit-garten-in-berlin-rheinickendorf-zum-verkauf,https://www.ebay-kleinanzeigen.de/s-anzeige/eigentumswohnung-mit-garten-in-berlin-rheinickendorf-zum-verkauf/2156732990-196-3462
10439,Prenzlauer,540000,105.26,3.0,jetzt-investieren-provisionsfreie-eigentumswohnung-im-prenzlauer-berg,https://www.ebay-kleinanzeigen.de/s-anzeige/jetzt-investieren-provisionsfreie-eigentumswohnung-im-prenzlauer-berg/1989956369-196-3490
10961,Kreuzberg,350000,45.0,1.5,etw-in-neuem-glanz-zur-selbstnutzung-nahe-landwehrkanal,https://www.ebay-kleinanzeigen.de/s-anzeige/etw-in-neuem-glanz-zur-selbstnutzung-nahe-landwehrkanal/2131598804-196-3377
14193,Dahlem,295000,65.08,3.0,grossartige-kapitalanlage-am-eingang-zum-grunewald,https://www.ebay-kleinanzeigen.de/s-anzeige/grossartige-kapitalanlage-am-eingang-zum-grunewald/2078422564-196-24192
10553,Tiergarten,329900,71.39,3.0,moabit-fuer-vermieter-mit-wohneigentum-in-zukunft-investieren,https://www.ebay-kleinanzeigen.de/s-anzeige/moabit-fuer-vermieter-mit-wohneigentum-in-zukunft-investieren/1799042008-196-9663
12167,Steglitz,599000,101.0,3.0,top-investment-4-6-rendite-,https://www.ebay-kleinanzeigen.de/s-anzeige/top-investment-4-6-rendite-/2131294265-196-3421
14197,Wilmersdorf,1036000,111.85,4.0,4-zimmer-domizil-mit-suedbalkon-und-loggia,https://www.ebay-kleinanzeigen.de/s-anzeige/4-zimmer-domizil-mit-suedbalkon-und-loggia/1874270979-196-3542
10407,Prenzlauer,361000,52.0,2.0,ruhige-kiezperle-2-zkb-terrasse-in-prenzlauer-berg,https://www.ebay-kleinanzeigen.de/s-anzeige/ruhige-kiezperle-2-zkb-terrasse-in-prenzlauer-berg/2154119261-196-3493
10789,Schöneberg,395000,54.54,2.0,bezugsfreie-moderne-2-zimmer-balkonwohnung-mit-ebk-fusslaeufig-zum-kadewe,https://www.ebay-kleinanzeigen.de/s-anzeige/bezugsfreie-moderne-2-zimmer-balkonwohnung-mit-ebk-fusslaeufig-zum-kadewe/2156560777-196-9647
10777,Schöneberg,535000,57.91,2.0,bayerisches-viertel-bezugsfreie-2-zimmer-balkonwohnung-mit-ebk-und-2-pkw-stellplaetzen,https://www.ebay-kleinanzeigen.de/s-anzeige/bayerisches-viertel-bezugsfreie-2-zimmer-balkonwohnung-mit-ebk-und-2-pkw-stellplaetzen/2156559727-196-9644
12049,Neukölln,625000,76.52,3.0,lichtdurchflutete-stuck-altbauwohnung-mit-balkon-im-beliebten-schillerkiez,https://www.ebay-kleinanzeigen.de/s-anzeige/lichtdurchflutete-stuck-altbauwohnung-mit-balkon-im-beliebten-schillerkiez/2156558634-196-3396
12051,Neukölln,200000,75.0,3.0,erdgeschosswohnung-in-12051-berlin-juliusstr-,https://www.ebay-kleinanzeigen.de/s-anzeige/erdgeschosswohnung-in-12051-berlin-juliusstr-/2104951701-196-3393
13403,Reinickendorf,268000,68.83,2.5,vermietete-wohnung-im-denkmalgeschuetzten-pfahler-block-13403-berlin,https://www.ebay-kleinanzeigen.de/s-anzeige/vermietete-wohnung-im-denkmalgeschuetzten-pfahler-block-13403-berlin/1770924618-196-3462
10553,Tiergarten,239900,52.67,2.0,zukunftsvorsorge-mit-vermieteter-eigentumswohnung-in-berlin-moabit,https://www.ebay-kleinanzeigen.de/s-anzeige/zukunftsvorsorge-mit-vermieteter-eigentumswohnung-in-berlin-moabit/1799042539-196-9663
12043,Neukölln,280000,100.0,4.0,maisonettewohnung-in-12043-berlin-herrnhuter-weg,https://www.ebay-kleinanzeigen.de/s-anzeige/maisonettewohnung-in-12043-berlin-herrnhuter-weg/2078614168-196-3398
13583,Spandau,380000,86.0,2.0,bezugsfreie-eigentumswohnung-im-falkenhagener-feld-mit-pkw-stellplatz-,https://www.ebay-kleinanzeigen.de/s-anzeige/bezugsfreie-eigentumswohnung-im-falkenhagener-feld-mit-pkw-stellplatz-/2050354300-196-3440
12437,Treptow,459000,79.0,3.0,-provisionsfrei-schoene-geraeumige-dg-3zi-wohnung-berlin-treptow,https://www.ebay-kleinanzeigen.de/s-anzeige/-provisionsfrei-schoene-geraeumige-dg-3zi-wohnung-berlin-treptow/2126513814-196-3481
13407,Reinickendorf,280000,68.42,2.0,gut-geschnittene-2-zi-whg-mit-garten-in-attraktiver-wohnlage,https://www.ebay-kleinanzeigen.de/s-anzeige/gut-geschnittene-2-zi-whg-mit-garten-in-attraktiver-wohnlage/2156455118-196-3460
13349,Wedding,270000,56.0,2.0,bezugsfreie-2-zi-wohnung-mit-balkon-und-gruenem-ausblick-provisionsfrei,https://www.ebay-kleinanzeigen.de/s-anzeige/bezugsfreie-2-zi-wohnung-mit-balkon-und-gruenem-ausblick-provisionsfrei/2156452540-196-3509
13505,Spandau,450000,99.03,3.0,grosszuegige-eigentumswohnung-in-konradshoehe-mit-gartenblick,https://www.ebay-kleinanzeigen.de/s-anzeige/grosszuegige-eigentumswohnung-in-konradshoehe-mit-gartenblick/2156452591-196-3441
